Name,Street address,City,State,Zip code,Building type,Utility name
1055 South Mount Prospect Road,1055 S Mt Prospect Rd,Des Plaines,IL,60016,Parking Lot,Commonwealth Edison Co
25 West Algonquin Road,25 W Algonquin Rd,Des Plaines,IL,60017,Parking Lot,Commonwealth Edison Co
25 East Algonquin Road,25 E Algonquin Rd,Des Plaines,IL,60016,Parking Lot,Commonwealth Edison Co
O’Hare Logistics Center 16 (cfa1ec01),1305 E Algonquin Rd,Arlington Heights,IL,60005,Parking Lot,Commonwealth Edison Co
"31 E Ogden Ave, La Grange, IL 60525",31 E Ogden Ave,La Grange,IL,60525,Multi-Family,Commonwealth Edison Co
350 North Wolf Road,350 N Wolf Rd,Mount Prospect,IL,60056,"Industrial, Warehouse",Commonwealth Edison Co
Hanover II,1555 Hunter Rd,Hanover Park,IL,60133,"Industrial, Warehouse",Commonwealth Edison Co
Algonquin Commons,1900 S Randall Rd,Algonquin,IL,60102,"Retail, Strip Mall",Commonwealth Edison Co
101 East Crossroads Parkway,101 E Crossroads Pkwy,Bolingbrook,IL,60440,"Industrial, Warehouse",Commonwealth Edison Co
255 Madsen Drive,255 Madsen Dr,Bloomingdale,IL,60108,"Industrial, Warehouse",Commonwealth Edison Co
Carvana,720 Enterprise Dr,Oak Brook,IL,60523,Office,Commonwealth Edison Co
WWT 108 (219OPP),108 Gateway Commerce Center Dr N,Edwardsville,IL,62025,"Industrial, Warehouse",Ameren Illinois
WWT 107 (218 OPP),107 Gateway Commerce Center Dr N,Edwardsville,IL,62025,"Industrial, Warehouse",Ameren Illinois
Woodfield Lexus,350 E Golf Rd,Schaumburg,IL,60173,Office,Commonwealth Edison Co
CarMax Oak Lawn ,6540 95th St,Oak Lawn,IL,60453,Office,Commonwealth Edison Co
"1001 Warrenville Rd, Lisle, IL 60532",1001 Warrenville Rd,Lisle,IL,60532,Office,Commonwealth Edison Co
"141 W Jackson Blvd, Chicago, IL 60604",141 W Jackson Blvd,Chicago,IL,60604,Office,Commonwealth Edison Co
Two River North,435 W Washington St,Chicago,IL,60606,Office,Commonwealth Edison Co
"1414 W Willow St, Chicago, IL 60642",1414 W Willow St,Chicago,IL,60642,Parking Lot,Commonwealth Edison Co
"2075 W 43rd St, Chicago, IL 60609",2075 W 43rd St,Chicago,IL,60609,"Industrial, Manufacturing",Commonwealth Edison Co
"360 N Green St, Chicago, IL 60607",360 N Green St,Chicago,IL,60607,Office,Commonwealth Edison Co
"1515 N Halsted St, Chicago, IL 60642",1515 N Halsted St,Chicago,IL,60642,"Retail, Standalone",Commonwealth Edison Co
"1229 W Concord Pl, Chicago, IL 60642",1229 W Concord Pl,Chicago,IL,60642,Office,Commonwealth Edison Co
"1685 N Throop St, Chicago, IL 60642",1685 N Throop St,Chicago,IL,60642,Parking Lot,Commonwealth Edison Co
"370 N Carpenter St, Chicago, IL 60607",370 N Carpenter St,Chicago,IL,60607,Parking Lot,Commonwealth Edison Co
"333 N Green St, Chicago, IL 60607",333 N Green St,Chicago,IL,60607,Office,Commonwealth Edison Co
"1601 Remington Blvd, Bolingbrook, IL 60490",1601 Remington Blvd,Bolingbrook,IL,60490,"Industrial, Manufacturing",Commonwealth Edison Co
Joliet Industrial,100 W Millsdale Rd,Elwood,IL,60421,"Industrial, Manufacturing",Commonwealth Edison Co
"640 N Central Ave, Wood Dale, IL 60191",640 N Central Ave,Wood Dale,IL,60191,"Industrial, Manufacturing",Commonwealth Edison Co
"330 N Green St, Chicago, IL 60607",330 N Green St,Chicago,IL,60607,Parking Lot,Commonwealth Edison Co
"11201 Irving Park Rd, Schiller Park, IL 60176",11201 Irving Park Rd,Schiller Park,IL,60176,"Industrial, Manufacturing",Commonwealth Edison Co
1685 N. Elston,1685 N Elston Ave,Chicago,IL,60642,Parking Lot,Commonwealth Edison Co
1650 N. Elston,1650 N Elston Ave,Chicago,IL,60642,Office,Commonwealth Edison Co
1642 N. Besly,1642 N Besly Ct,Chicago,IL,60642,Parking Lot,Commonwealth Edison Co
1623 N Elston,1623 N Elston Ave,Chicago,IL,60642,Parking Lot,Commonwealth Edison Co
1400 W North,1400 W North Ave,Chicago,IL,60642,Parking Lot,Commonwealth Edison Co
IL00,3000 W 36th St,Chicago,IL,60632,"Industrial, Manufacturing",Commonwealth Edison Co
IL800,1800 W 43rd St,Chicago,IL,60609,"Industrial, Manufacturing",Commonwealth Edison Co
111 N. Canal,111 N Canal St,Chicago,IL,60606,Office,Commonwealth Edison Co
Discovery Clothing,15645 LaGrange Rd,Orland Park,IL,60462,"Retail, Standalone",Commonwealth Edison Co
IL300,12300 New Ave,Lemont,IL,60439,"Industrial, Manufacturing",Commonwealth Edison Co
IL100,10100 Virginia Ave,Chicago Ridge,IL,60415,"Industrial, Manufacturing",Commonwealth Edison Co
IL48,23348 W Eames St,Channahon,IL,60410,"Industrial, Manufacturing",Commonwealth Edison Co
IL65,165 W Lake St,Northlake,IL,60164,"Industrial, Manufacturing",Commonwealth Edison Co
IL40,2040 N Mannheim Rd,Melrose Park,IL,60160,"Industrial, Manufacturing",Commonwealth Edison Co
Fairfield Commerce Park III,1600 Sherwin Ave,Des Plaines,IL,60018,"Industrial, Manufacturing",Commonwealth Edison Co
